mgh_2,mgh_3,mgh_4,product_type,Product Style,,,
Lifestyle,APPAREL,Vest,Windproof Vest,Not assigned,,,
Lifestyle,APPAREL,Vest,Not Assigned,Not assigned,,,
Lifestyle,APPAREL,Gown,MIDI SKIRT,SKIRT,,,
Lifestyle,BAGS,Backpack,Camera,Daypack,,,
Lifestyle,BAGS,Backpack,Camera,Not assigned,,,
Lifestyle,BAGS,Backpack,Daypack,Two ways carry,,,
Lifestyle,BAGS,Backpack,Daypack,Three Ways Carry,,,
Lifestyle,BAGS,Backpack,Daypack,Packable,,,
Lifestyle,BAGS,Backpack,Daypack,Daypack,,,
Lifestyle,BAGS,Backpack,Daypack,DRAWSTRING,,,
Lifestyle,BAGS,Backpack,Daypack,WATER PROTECTION,,,
Lifestyle,BAGS,Backpack,Daypack,Not assigned,,,
Lifestyle,BAGS,Backpack,Laptop,Two ways carry,,,
Lifestyle,BAGS,Backpack,Laptop,Three Ways Carry,,,
Lifestyle,BAGS,Backpack,Laptop,Daypack,,,
Lifestyle,BAGS,Backpack,Laptop,N/A,,,
Lifestyle,BAGS,Backpack,Laptop,Not assigned,,,
Lifestyle,BAGS,Backpack,Rucksack,Fixed Harness,,,
Lifestyle,BAGS,Backpack,Rucksack,Daypack,,,
Lifestyle,BAGS,Backpack,Rucksack,Not assigned,,,
Lifestyle,BAGS,Backpack,Technical,Daypack,,,
Lifestyle,BAGS,Backpack,Wheeled Backpack,Two Wheeled,,,
Lifestyle,BAGS,Backpack,Travel Backpack,Daypack,,,
Lifestyle,BAGS,Shoulder Bag,Camera,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,Cross Sling Bag,Basic Shoulder Bag,,,
Lifestyle,BAGS,Shoulder Bag,Cross Sling Bag,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,Laptop Shoulder Bag,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,Regular Shoulder Bag,Packable,,,
Lifestyle,BAGS,Shoulder Bag,Regular Shoulder Bag,Roll Sling Bag,,,
Lifestyle,BAGS,Shoulder Bag,Regular Shoulder Bag,Basic Shoulder Bag,,,
Lifestyle,BAGS,Shoulder Bag,Regular Shoulder Bag,WATER PROTECTION,,,
Lifestyle,BAGS,Shoulder Bag,Regular Shoulder Bag,N/A,,,
Lifestyle,BAGS,Shoulder Bag,Regular Shoulder Bag,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,Tablet Shoulder Bag,Basic Shoulder Bag,,,
Lifestyle,BAGS,Shoulder Bag,Tablet Shoulder Bag,N/A,,,
Lifestyle,BAGS,Shoulder Bag,Tablet Shoulder Bag,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,Tote Bag,Packable,,,
Lifestyle,BAGS,Shoulder Bag,Tote Bag,Regular Tote Bag,,,
Lifestyle,BAGS,Shoulder Bag,Tote Bag,Two Ways carry tote bag,,,
Lifestyle,BAGS,Shoulder Bag,Tote Bag,Three Ways  Carry Tote Bag,,,
Lifestyle,BAGS,Shoulder Bag,Tote Bag,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,Travel Pouch,Not assigned,,,
Lifestyle,BAGS,Shoulder Bag,SHOPPING BAG,SHOPPING BAG,,,
Lifestyle,BAGS,Duffle,Daypack,Three Ways Carry,,,
Lifestyle,BAGS,Duffle,Regular Duffle,Two ways carry,,,
Lifestyle,BAGS,Duffle,Regular Duffle,Three Ways Carry,,,
Lifestyle,BAGS,Duffle,Regular Duffle,Packable,,,
Lifestyle,BAGS,Duffle,Regular Duffle,Not assigned,,,
Lifestyle,BAGS,Duffle,Wheeled Duffle,Two ways carry,,,
Lifestyle,BAGS,Luggage,Hard Case,Four Wheeled,,,
Lifestyle,BAGS,Luggage,Soft Case,Two Wheeled,,,
Lifestyle,BAGS,Luggage,Soft Case,Four Wheeled,,,
Lifestyle,BAGS,Waist Bag,Cross Sling Bag,Not assigned,,,
Lifestyle,BAGS,Waist Bag,Lumbar Bag,Not assigned,,,
Lifestyle,BAGS,Waist Bag,Regular Shoulder Bag,Not assigned,,,
Lifestyle,BAGS,Waist Bag,Regular Waist Bag,Basic Shoulder Bag,,,
Lifestyle,BAGS,Waist Bag,Regular Waist Bag,N/A,,,
Lifestyle,BAGS,Waist Bag,Regular Waist Bag,Not assigned,,,
Lifestyle,BAGS,Waist Bag,Technical Waist Bag,Packable,,,
Lifestyle,BAGS,Waist Bag,Technical Waist Bag,Not assigned,,,
Lifestyle,BAGS,Pouch,Digital Pouch,N/A,,,
Lifestyle,BAGS,Pouch,Digital Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,Legpack,Polyester,,,
